time_step,nums,service_type
1,2,A
1,4,B
1,4,C
2,4,A
2,8,B
2,8,C
3,6,A
3,12,B
3,12,C
4,8,A
4,16,B
4,16,C
5,10,A
5,20,B
5,20,C
6,12,A
6,24,B
6,24,C
7,14,A
7,28,B
7,28,C
8,16,A
8,32,B
8,32,C
9,18,A
9,36,B
9,36,C
10,20,A
10,40,B
10,40,C
11,22,A
11,44,B
11,44,C
12,24,A
12,48,B
12,48,C
13,26,A
13,52,B
13,52,C
14,28,A
14,56,B
14,56,C
15,30,A
15,60,B
15,60,C
16,32,A
16,64,B
16,64,C
17,34,A
17,68,B
17,68,C
18,36,A
18,73,B
18,72,C
19,38,A
19,80,B
19,76,C
20,40,A
20,87,B
20,80,C
21,42,A
21,94,B
21,84,C
22,44,A
22,101,B
22,88,C
23,46,A
23,108,B
23,92,C
24,48,A
24,115,B
24,96,C
25,50,A
25,122,B
25,100,C
26,52,A
26,129,B
26,104,C
27,54,A
27,136,B
27,108,C
28,56,A
28,143,B
28,112,C
29,58,A
29,150,B
29,116,C
30,60,A
30,157,B
30,120,C
31,62,A
31,164,B
31,124,C
32,64,A
32,171,B
32,128,C
33,66,A
33,178,B
33,132,C
34,68,A
34,185,B
34,136,C
35,70,A
35,192,B
35,140,C
36,72,A
36,199,B
36,144,C
37,74,A
37,206,B
37,148,C
38,76,A
38,213,B
38,152,C
39,78,A
39,220,B
39,156,C
40,80,A
40,227,B
40,160,C
41,82,A
41,234,B
41,164,C
42,84,A
42,241,B
42,168,C
43,86,A
43,248,B
43,172,C
44,88,A
44,255,B
44,176,C
45,90,A
45,262,B
45,180,C
46,92,A
46,269,B
46,184,C
47,94,A
47,276,B
47,188,C
48,96,A
48,283,B
48,192,C
49,98,A
49,290,B
49,196,C
50,100,A
50,297,B
50,200,C
51,102,A
51,304,B
51,204,C
52,104,A
52,311,B
52,208,C
53,106,A
53,318,B
53,212,C
54,108,A
54,325,B
54,216,C
55,110,A
55,332,B
55,220,C
56,112,A
56,339,B
56,224,C
57,114,A
57,346,B
57,228,C
58,116,A
58,353,B
58,232,C
59,118,A
59,360,B
59,236,C
60,120,A
60,367,B
60,240,C
61,122,A
61,374,B
61,245,C
62,124,A
62,381,B
62,252,C
63,126,A
63,388,B
63,259,C
64,128,A
64,395,B
64,266,C
65,130,A
65,402,B
65,273,C
66,132,A
66,409,B
66,280,C
67,134,A
67,416,B
67,287,C
68,136,A
68,423,B
68,294,C
69,138,A
69,430,B
69,301,C
70,140,A
70,437,B
70,308,C
71,142,A
71,444,B
71,315,C
72,144,A
72,451,B
72,322,C
73,146,A
73,458,B
73,329,C
74,148,A
74,465,B
74,336,C
75,150,A
75,472,B
75,343,C
76,152,A
76,479,B
76,350,C
77,154,A
77,486,B
77,357,C
78,156,A
78,493,B
78,364,C
79,158,A
79,500,B
79,371,C
80,160,A
80,507,B
80,378,C
81,162,A
81,514,B
81,385,C
82,164,A
82,521,B
82,392,C
83,166,A
83,528,B
83,399,C
84,168,A
84,535,B
84,406,C
85,170,A
85,542,B
85,413,C
86,172,A
86,549,B
86,420,C
87,174,A
87,556,B
87,427,C
88,176,A
88,563,B
88,434,C
89,178,A
89,570,B
89,441,C
90,180,A
90,577,B
90,448,C
91,182,A
91,584,B
91,455,C
92,184,A
92,591,B
92,462,C
93,186,A
93,598,B
93,469,C
94,188,A
94,605,B
94,476,C
95,190,A
95,612,B
95,483,C
96,192,A
96,619,B
96,490,C
97,194,A
97,626,B
97,497,C
98,196,A
98,634,B
98,504,C
99,198,A
99,644,B
99,511,C
100,201,A
100,654,B
100,518,C
101,206,A
101,664,B
101,525,C
102,211,A
102,674,B
102,532,C
103,216,A
103,684,B
103,539,C
104,221,A
104,694,B
104,546,C
105,226,A
105,705,B
105,553,C
106,231,A
106,718,B
106,560,C
107,236,A
107,731,B
107,567,C
108,241,A
108,744,B
108,574,C
109,246,A
109,757,B
109,581,C
110,251,A
110,770,B
110,588,C
111,256,A
111,783,B
111,595,C
112,261,A
112,796,B
112,602,C
113,266,A
113,809,B
113,609,C
114,271,A
114,822,B
114,616,C
115,276,A
115,835,B
115,623,C
116,281,A
116,848,B
116,630,C
117,286,A
117,861,B
117,637,C
118,291,A
118,874,B
118,644,C
119,296,A
119,887,B
119,651,C
120,301,A
120,900,B
120,658,C
121,306,A
121,913,B
121,665,C
122,311,A
122,926,B
122,672,C
123,316,A
123,939,B
123,680,C
124,321,A
124,952,B
124,688,C
125,326,A
125,965,B
125,696,C
126,331,A
126,978,B
126,704,C
127,336,A
127,991,B
127,713,C
128,341,A
128,1004,B
128,722,C
129,346,A
129,1017,B
129,731,C
130,351,A
130,1030,B
130,740,C
131,356,A
131,1043,B
131,749,C
132,361,A
132,1056,B
132,758,C
133,366,A
133,1069,B
133,767,C
134,371,A
134,1082,B
134,776,C
135,376,A
135,1095,B
135,785,C
136,381,A
136,1108,B
136,794,C
137,386,A
137,1122,B
137,803,C
138,391,A
138,1138,B
138,812,C
139,396,A
139,1154,B
139,821,C
140,401,A
140,1170,B
140,830,C
141,406,A
141,1186,B
141,839,C
142,411,A
142,1202,B
142,848,C
143,416,A
143,1218,B
143,857,C
144,421,A
144,1234,B
144,866,C
145,426,A
145,1250,B
145,875,C
146,431,A
146,1266,B
146,884,C
147,436,A
147,1282,B
147,893,C
148,441,A
148,1298,B
148,903,C
149,446,A
149,1314,B
149,913,C
150,451,A
150,1330,B
150,923,C
151,456,A
151,1347,B
151,933,C
152,461,A
152,1366,B
152,943,C
153,466,A
153,1385,B
153,953,C
154,471,A
154,1404,B
154,963,C
155,476,A
155,1423,B
155,973,C
156,481,A
156,1442,B
156,983,C
157,486,A
157,1461,B
157,993,C
158,491,A
